Processor used to perform tests: Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz
model,parameters,accuracy
ANN,"{'lr': 0.001, 'h1': 128, 'h2': 64, 'acc': 0.93}",0.9300
ANN,"{'lr': 0.001, 'h1': 128, 'h2': 128, 'acc': 0.95}",0.9500
ANN,"{'lr': 0.001, 'h1': 256, 'h2': 64, 'acc': 0.94}",0.9400
ANN,"{'lr': 0.001, 'h1': 256, 'h2': 128, 'acc': 0.94}",0.9400
ANN,"{'lr': 0.0005, 'h1': 128, 'h2': 64, 'acc': 0.79}",0.7900
ANN,"{'lr': 0.0005, 'h1': 128, 'h2': 128, 'acc': 0.86}",0.8600
ANN,"{'lr': 0.0005, 'h1': 256, 'h2': 64, 'acc': 0.95}",0.9500
ANN,"{'lr': 0.0005, 'h1': 256, 'h2': 128, 'acc': 0.92}",0.9200
CNN,"{'lr': 0.001, 'c1': 32, 'c2': 64, 'fc': 128, 'acc': 0.94}",0.9400
CNN,"{'lr': 0.001, 'c1': 32, 'c2': 64, 'fc': 256, 'acc': 0.96}",0.9600
CNN,"{'lr': 0.001, 'c1': 32, 'c2': 128, 'fc': 128, 'acc': 0.89}",0.8900
CNN,"{'lr': 0.001, 'c1': 32, 'c2': 128, 'fc': 256, 'acc': 0.96}",0.9600
CNN,"{'lr': 0.001, 'c1': 64, 'c2': 64, 'fc': 128, 'acc': 0.95}",0.9500
CNN,"{'lr': 0.001, 'c1': 64, 'c2': 64, 'fc': 256, 'acc': 0.94}",0.9400
CNN,"{'lr': 0.001, 'c1': 64, 'c2': 128, 'fc': 128, 'acc': 0.98}",0.9800
CNN,"{'lr': 0.001, 'c1': 64, 'c2': 128, 'fc': 256, 'acc': 0.94}",0.9400
CNN,"{'lr': 0.0005, 'c1': 32, 'c2': 64, 'fc': 128, 'acc': 0.91}",0.9100
CNN,"{'lr': 0.0005, 'c1': 32, 'c2': 64, 'fc': 256, 'acc': 0.91}",0.9100
CNN,"{'lr': 0.0005, 'c1': 32, 'c2': 128, 'fc': 128, 'acc': 0.91}",0.9100
CNN,"{'lr': 0.0005, 'c1': 32, 'c2': 128, 'fc': 256, 'acc': 0.96}",0.9600
CNN,"{'lr': 0.0005, 'c1': 64, 'c2': 64, 'fc': 128, 'acc': 0.92}",0.9200
CNN,"{'lr': 0.0005, 'c1': 64, 'c2': 64, 'fc': 256, 'acc': 0.95}",0.9500
CNN,"{'lr': 0.0005, 'c1': 64, 'c2': 128, 'fc': 128, 'acc': 0.91}",0.9100
CNN,"{'lr': 0.0005, 'c1': 64, 'c2': 128, 'fc': 256, 'acc': 0.98}",0.9800
