Processor used to perform tests: Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz
model,parameters,accuracy,train_time_sec,test_time_sec
ANN,"{'lr': 0.001, 'h1': 128, 'h2': 64, 'acc': 0.92, 'train_time': 2.51134991645813, 'test_time': 0.001962423324584961}",0.9200,2.51,0.00
ANN,"{'lr': 0.001, 'h1': 128, 'h2': 128, 'acc': 0.92, 'train_time': 0.800682783126831, 'test_time': 0.0010330677032470703}",0.9200,0.80,0.00
ANN,"{'lr': 0.001, 'h1': 256, 'h2': 64, 'acc': 0.96, 'train_time': 0.8437106609344482, 'test_time': 0.002991914749145508}",0.9600,0.84,0.00
ANN,"{'lr': 0.001, 'h1': 256, 'h2': 128, 'acc': 0.99, 'train_time': 0.9542574882507324, 'test_time': 0.0029916763305664062}",0.9900,0.95,0.00
ANN,"{'lr': 0.0005, 'h1': 128, 'h2': 64, 'acc': 0.9, 'train_time': 0.7626092433929443, 'test_time': 0.000997304916381836}",0.9000,0.76,0.00
ANN,"{'lr': 0.0005, 'h1': 128, 'h2': 128, 'acc': 0.9, 'train_time': 0.7400238513946533, 'test_time': 0.0029897689819335938}",0.9000,0.74,0.00
ANN,"{'lr': 0.0005, 'h1': 256, 'h2': 64, 'acc': 0.93, 'train_time': 0.9196877479553223, 'test_time': 0.001993417739868164}",0.9300,0.92,0.00
ANN,"{'lr': 0.0005, 'h1': 256, 'h2': 128, 'acc': 0.94, 'train_time': 0.9384927749633789, 'test_time': 0.0019943714141845703}",0.9400,0.94,0.00
CNN,"{'lr': 0.001, 'c1': 32, 'c2': 64, 'fc': 128, 'acc': 0.95, 'train_time': 2.3829944133758545, 'test_time': 0.007978200912475586}",0.9500,2.38,0.01
CNN,"{'lr': 0.001, 'c1': 32, 'c2': 64, 'fc': 256, 'acc': 0.98, 'train_time': 2.620107889175415, 'test_time': 0.010968685150146484}",0.9800,2.62,0.01
CNN,"{'lr': 0.001, 'c1': 32, 'c2': 128, 'fc': 128, 'acc': 0.94, 'train_time': 3.0403735637664795, 'test_time': 0.011966943740844727}",0.9400,3.04,0.01
CNN,"{'lr': 0.001, 'c1': 32, 'c2': 128, 'fc': 256, 'acc': 0.98, 'train_time': 3.3885293006896973, 'test_time': 0.010938405990600586}",0.9800,3.39,0.01
CNN,"{'lr': 0.001, 'c1': 64, 'c2': 64, 'fc': 128, 'acc': 0.99, 'train_time': 3.3027031421661377, 'test_time': 0.014076709747314453}",0.9900,3.30,0.01
CNN,"{'lr': 0.001, 'c1': 64, 'c2': 64, 'fc': 256, 'acc': 0.99, 'train_time': 3.4788293838500977, 'test_time': 0.014959573745727539}",0.9900,3.48,0.01
CNN,"{'lr': 0.001, 'c1': 64, 'c2': 128, 'fc': 128, 'acc': 0.98, 'train_time': 3.9629573822021484, 'test_time': 0.016954421997070312}",0.9800,3.96,0.02
CNN,"{'lr': 0.001, 'c1': 64, 'c2': 128, 'fc': 256, 'acc': 0.97, 'train_time': 4.772902965545654, 'test_time': 0.01798272132873535}",0.9700,4.77,0.02
CNN,"{'lr': 0.0005, 'c1': 32, 'c2': 64, 'fc': 128, 'acc': 0.91, 'train_time': 2.4733171463012695, 'test_time': 0.009972810745239258}",0.9100,2.47,0.01
CNN,"{'lr': 0.0005, 'c1': 32, 'c2': 64, 'fc': 256, 'acc': 0.87, 'train_time': 2.559323787689209, 'test_time': 0.010971546173095703}",0.8700,2.56,0.01
CNN,"{'lr': 0.0005, 'c1': 32, 'c2': 128, 'fc': 128, 'acc': 0.84, 'train_time': 3.3159162998199463, 'test_time': 0.013964653015136719}",0.8400,3.32,0.01
CNN,"{'lr': 0.0005, 'c1': 32, 'c2': 128, 'fc': 256, 'acc': 0.97, 'train_time': 3.3960866928100586, 'test_time': 0.012004613876342773}",0.9700,3.40,0.01
CNN,"{'lr': 0.0005, 'c1': 64, 'c2': 64, 'fc': 128, 'acc': 0.94, 'train_time': 3.619619846343994, 'test_time': 0.014961719512939453}",0.9400,3.62,0.01
CNN,"{'lr': 0.0005, 'c1': 64, 'c2': 64, 'fc': 256, 'acc': 0.95, 'train_time': 3.700998306274414, 'test_time': 0.013928651809692383}",0.9500,3.70,0.01
CNN,"{'lr': 0.0005, 'c1': 64, 'c2': 128, 'fc': 128, 'acc': 0.93, 'train_time': 4.361807823181152, 'test_time': 0.0169527530670166}",0.9300,4.36,0.02
CNN,"{'lr': 0.0005, 'c1': 64, 'c2': 128, 'fc': 256, 'acc': 0.96, 'train_time': 5.526150226593018, 'test_time': 0.012964010238647461}",0.9600,5.53,0.01
