Processor used to perform tests: Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz
C	gamma	kernel	test_accuracy	test_f1_weighted	learn_time	test_time
0.1	0.0001	linear	0.8799	0.8854	25.49	2.58
0.1	0.0001	poly	0.0826	0.0572	94.12	5.02
0.1	0.0001	rbf	0.1757	0.1583	127.40	8.02
0.1	0.0001	sigmoid	0.1722	0.1547	114.03	5.23
0.1	0.001	linear	0.8799	0.8854	26.99	2.77
0.1	0.001	poly	0.0847	0.0569	114.01	5.75
0.1	0.001	rbf	0.2562	0.2466	140.69	8.54
0.1	0.001	sigmoid	0.2097	0.1935	134.58	6.43
0.1	0.01	linear	0.8799	0.8854	32.57	3.09
0.1	0.01	poly	0.5312	0.5962	71.00	4.23
0.1	0.01	rbf	0.4951	0.5167	131.52	8.77
0.1	0.01	sigmoid	0.0451	0.0240	104.55	5.16
0.1	0.1	linear	0.8799	0.8854	24.32	2.63
0.1	0.1	poly	0.7451	0.7641	23.42	2.30
0.1	0.1	rbf	0.2604	0.2796	126.60	8.80
0.1	0.1	sigmoid	0.0153	0.0023	128.17	5.40
0.1	1	linear	0.8799	0.8854	26.02	2.86
0.1	1	poly	0.7708	0.7796	18.83	2.22
0.1	1	rbf	0.1229	0.1217	179.15	29.68
0.1	1	sigmoid	0.0333	0.0039	174.29	7.05
1	0.0001	linear	0.9285	0.9295	31.24	2.52
1	0.0001	poly	0.0826	0.0572	146.87	6.44
1	0.0001	rbf	0.2674	0.2745	153.72	8.87
1	0.0001	sigmoid	0.2035	0.1931	131.36	5.30
1	0.001	linear	0.9285	0.9295	22.48	2.08
1	0.001	poly	0.1889	0.2108	118.73	5.06
1	0.001	rbf	0.5465	0.5807	91.04	7.36
1	0.001	sigmoid	0.4326	0.4670	76.75	5.15
1	0.01	linear	0.9285	0.9295	20.40	2.28
1	0.01	poly	0.6667	0.7188	48.06	3.41
1	0.01	rbf	0.7653	0.7888	65.86	6.72
1	0.01	sigmoid	0.1021	0.0549	57.71	5.02
1	0.1	linear	0.9285	0.9295	17.86	1.91
1	0.1	poly	0.7764	0.7822	19.79	2.08
1	0.1	rbf	0.7160	0.7581	111.61	7.77
1	0.1	sigmoid	0.0312	0.0195	82.89	5.14
1	1	linear	0.9285	0.9295	18.13	1.88
1	1	poly	0.7639	0.7727	15.28	1.86
1	1	rbf	0.3514	0.4413	130.88	8.00
1	1	sigmoid	0.0333	0.0039	99.22	4.99
10	0.0001	linear	0.9160	0.9168	16.06	1.70
10	0.0001	poly	0.0826	0.0572	98.83	4.96
10	0.0001	rbf	0.5444	0.5820	82.01	7.33
10	0.0001	sigmoid	0.4660	0.5025	75.25	4.86
10	0.001	linear	0.9160	0.9168	16.39	1.73
10	0.001	poly	0.3500	0.4147	71.19	4.50
10	0.001	rbf	0.7799	0.8046	46.97	5.66
10	0.001	sigmoid	0.5299	0.5510	47.21	4.19
10	0.01	linear	0.9160	0.9168	16.62	1.71
10	0.01	poly	0.7125	0.7495	30.16	2.75
10	0.01	rbf	0.9201	0.9210	41.97	5.37
10	0.01	sigmoid	0.0958	0.0487	53.13	4.93
10	0.1	linear	0.9160	0.9168	16.03	1.73
10	0.1	poly	0.7764	0.7841	16.34	1.88
10	0.1	rbf	0.7736	0.8147	109.73	7.05
10	0.1	sigmoid	0.0181	0.0046	67.66	5.32
10	1	linear	0.9160	0.9168	16.08	1.74
10	1	poly	0.7618	0.7705	16.09	1.84
10	1	rbf	0.3924	0.4881	133.08	7.97
10	1	sigmoid	0.0333	0.0039	99.66	5.08
100	0.0001	linear	0.9132	0.9141	16.45	1.74
100	0.0001	poly	0.0847	0.0569	95.48	4.91
100	0.0001	rbf	0.7708	0.7952	46.53	5.44
100	0.0001	sigmoid	0.7000	0.7315	44.97	3.80
100	0.001	linear	0.9132	0.9141	17.92	1.70
100	0.001	poly	0.5312	0.5962	56.19	4.31
100	0.001	rbf	0.9201	0.9220	28.66	4.12
100	0.001	sigmoid	0.4757	0.4946	29.27	3.72
100	0.01	linear	0.9132	0.9141	16.81	1.72
100	0.01	poly	0.7451	0.7641	24.55	2.38
100	0.01	rbf	0.9410	0.9412	36.84	4.83
100	0.01	sigmoid	0.0958	0.0477	54.22	5.04
100	0.1	linear	0.9132	0.9141	16.71	1.79
100	0.1	poly	0.7708	0.7796	16.59	1.85
100	0.1	rbf	0.7736	0.8150	123.17	7.02
100	0.1	sigmoid	0.0167	0.0031	59.95	5.00
100	1	linear	0.9132	0.9141	15.38	1.96
100	1	poly	0.7618	0.7705	14.83	1.79
100	1	rbf	0.3924	0.4881	127.10	8.19
100	1	sigmoid	0.0333	0.0039	97.15	4.96
