Processor used to perform tests: Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz
C,gamma,kernel,test_accuracy,test_f1_weighted,learn_time,test_time
0.1,0.0001,linear,0.8799,0.8854,168.29,10.87
0.1,0.0001,poly,0.0826,0.0572,708.21,20.58
0.1,0.0001,rbf,0.1757,0.1583,923.96,31.66
0.1,0.0001,sigmoid,0.1722,0.1547,716.40,20.59
0.1,0.001,linear,0.8799,0.8854,166.84,10.88
0.1,0.001,poly,0.0847,0.0569,741.59,19.75
0.1,0.001,rbf,0.2562,0.2466,839.61,32.33
0.1,0.001,sigmoid,0.2097,0.1935,692.26,20.39
0.1,0.01,linear,0.8799,0.8854,188.18,10.92
0.1,0.01,poly,0.5312,0.5962,443.75,15.87
0.1,0.01,rbf,0.4951,0.5167,768.35,31.23
0.1,0.01,sigmoid,0.0451,0.0240,805.16,19.94
0.1,0.1,linear,0.8799,0.8854,177.34,10.65
0.1,0.1,poly,0.7451,0.7641,158.67,9.86
0.1,0.1,rbf,0.2604,0.2796,853.46,33.30
0.1,0.1,sigmoid,0.0153,0.0023,805.96,20.50
0.1,1,linear,0.8799,0.8854,183.88,10.21
0.1,1,poly,0.7708,0.7796,100.33,8.40
0.1,1,rbf,0.1229,0.1217,982.62,37.44
0.1,1,sigmoid,0.0333,0.0039,846.22,21.66
1,0.0001,linear,0.9285,0.9295,124.37,8.09
1,0.0001,poly,0.0826,0.0572,887.55,20.83
1,0.0001,rbf,0.2674,0.2745,882.22,35.67
1,0.0001,sigmoid,0.2035,0.1931,847.04,21.05
1,0.001,linear,0.9285,0.9295,125.73,8.12
1,0.001,poly,0.1889,0.2108,788.01,19.94
1,0.001,rbf,0.5465,0.5807,640.40,32.70
1,0.001,sigmoid,0.4326,0.4670,649.82,19.55
1,0.01,linear,0.9285,0.9295,132.95,8.49
1,0.01,poly,0.6667,0.7188,338.50,14.22
1,0.01,rbf,0.7653,0.7888,464.43,26.41
1,0.01,sigmoid,0.1021,0.0549,441.64,19.69
1,0.1,linear,0.9285,0.9295,138.22,9.29
1,0.1,poly,0.7764,0.7822,150.58,9.07
1,0.1,rbf,0.7160,0.7581,828.46,31.16
1,0.1,sigmoid,0.0312,0.0195,670.65,20.56
1,1,linear,0.9285,0.9295,123.04,8.43
1,1,poly,0.7639,0.7727,99.10,8.11
1,1,rbf,0.3514,0.4413,876.03,32.59
1,1,sigmoid,0.0333,0.0039,757.13,20.87
10,0.0001,linear,0.9160,0.9168,107.24,7.48
10,0.0001,poly,0.0826,0.0572,760.30,19.28
10,0.0001,rbf,0.5444,0.5820,552.89,29.31
10,0.0001,sigmoid,0.4660,0.5025,559.27,19.26
10,0.001,linear,0.9160,0.9168,104.72,7.27
10,0.001,poly,0.3500,0.4147,618.27,18.18
10,0.001,rbf,0.7799,0.8046,340.52,23.61
10,0.001,sigmoid,0.5299,0.5510,367.40,17.60
10,0.01,linear,0.9160,0.9168,110.18,7.80
10,0.01,poly,0.7125,0.7495,227.38,11.43
10,0.01,rbf,0.9201,0.9210,287.72,23.44
10,0.01,sigmoid,0.0958,0.0487,404.77,19.03
10,0.1,linear,0.9160,0.9168,108.31,7.32
10,0.1,poly,0.7764,0.7841,115.87,8.34
10,0.1,rbf,0.7736,0.8147,841.29,26.58
10,0.1,sigmoid,0.0181,0.0046,544.28,18.04
10,1,linear,0.9160,0.9168,104.06,7.81
10,1,poly,0.7618,0.7705,95.39,8.29
10,1,rbf,0.3924,0.4881,954.72,28.29
10,1,sigmoid,0.0333,0.0039,767.19,24.04
100,0.0001,linear,0.9132,0.9141,111.18,8.78
100,0.0001,poly,0.0847,0.0569,785.71,19.52
100,0.0001,rbf,0.7708,0.7952,313.28,21.96
100,0.0001,sigmoid,0.7000,0.7315,352.71,14.28
100,0.001,linear,0.9132,0.9141,106.46,6.26
100,0.001,poly,0.5312,0.5962,444.73,15.27
100,0.001,rbf,0.9201,0.9220,202.58,16.58
100,0.001,sigmoid,0.4757,0.4946,219.55,13.49
100,0.01,linear,0.9132,0.9141,115.62,8.26
100,0.01,poly,0.7451,0.7641,185.39,8.99
100,0.01,rbf,0.9410,0.9412,247.55,23.46
100,0.01,sigmoid,0.0958,0.0477,359.06,12.36
100,0.1,linear,0.9132,0.9141,119.92,8.87
100,0.1,poly,0.7708,0.7796,108.71,6.80
100,0.1,rbf,0.7736,0.8150,459.92,11.48
100,0.1,sigmoid,0.0167,0.0031,326.97,10.21
100,1,linear,0.9132,0.9141,109.65,6.60
100,1,poly,0.7618,0.7705,91.47,6.66
100,1,rbf,0.3924,0.4881,422.66,7.92
100,1,sigmoid,0.0333,0.0039,380.84,6.09
